AABW,NAO,SFWF,N_SALT,SALT_500m,ICEFRAC,PD_0m,PD_200m,TAUX,AMOC
-10.239799,-120.4375,-1.1954525903152662e-05,-9507178496.0,35.90125698513455,0.6506598782101113,1.0277760653960994,1.0284133502777586,-0.041801333,6.8827815
-11.201758,-146.15625,-1.0963466825284627e-05,-8816568320.0,35.90106387471044,0.6482878548255636,1.0277792268652255,1.0284207917274313,-0.04076511,6.4356275
-12.28732,0.796875,-1.0227817230500938e-05,-9958822912.0,35.90155880950218,0.6464887541969802,1.0277367936886423,1.0284297648896563,-0.048542194,5.8200336
-8.84748,-18.1875,-9.525447150066588e-06,-6875847680.0,35.900959152891964,0.6547122839031848,1.0277207081880029,1.0284346565287164,-0.04010967,6.0628743
-10.571012,-46.9296875,-1.2462067464574472e-05,-8184853504.0,35.90112190345153,0.6567202699019011,1.027708432538723,1.0284344335819813,-0.043197446,5.7270417
-11.351111,310.0625,-1.0503138752217492e-05,-6792674304.0,35.90361003235021,0.643604988280155,1.027713538427663,1.0284300426219373,-0.057770457,5.722943
-12.866871,-419.734375,-5.324208987315576e-06,-8120337408.0,35.90428388334368,0.6077147934920504,1.02761917361399,1.0284235457156568,-0.042739224,6.4871516
-12.828453,-38.8671875,-1.227352402703978e-05,-7475086848.0,35.9063079301701,0.6579622846123433,1.027672936518987,1.028421032936015,-0.055773642,6.5340095
-11.101161,-70.3046875,-7.044590783080403e-06,-7240481792.0,35.904984190790536,0.6381731327188996,1.027652138859276,1.0284135080398398,-0.044560667,6.6210613
-13.154332,91.78125,-1.0001131441993916e-05,-7239907328.0,35.90383160021878,0.6388545958070608,1.0276289146120956,1.028403263396405,-0.04813931,7.2200456
-9.134723,44.15625,-1.1543544704200932e-05,-7139134464.0,35.90500583697967,0.6521438600757392,1.0276374732091176,1.0283979847076092,-0.03151461,7.130999
-10.566467,-105.9296875,-8.698728107242367e-06,-6371606016.0,35.90551447313885,0.6400698646733266,1.027633711574523,1.0283938022370034,-0.046207614,6.9513736
-11.675785,72.3046875,-1.2971470153985134e-05,-8490535936.0,35.904619911844414,0.6367377764569634,1.0276384499014877,1.0283923554927743,-0.052853484,6.9601197
-9.136498,196.375,-1.3506290302369845e-05,-8427056640.0,35.905990994869896,0.651020227959331,1.0277186135451,1.0283934641391672,-0.032203928,7.206428
-10.656271,-329.7265625,-7.585307260555858e-06,-9967029248.0,35.90892081051218,0.6102117093256917,1.0276911719058588,1.028398794316231,-0.035439268,6.7589726
-10.984589,262.171875,-1.1838818837767478e-05,-7835424256.0,35.91046044992846,0.6393843905001025,1.027678246178278,1.0284042992490403,-0.034297332,5.843942
-12.799873,-90.703125,-1.1171138024062342e-05,-8448955392.0,35.911253956245204,0.6327694197480014,1.0275936335082945,1.0284061989885696,-0.042996928,5.5336723
-11.950535,-105.8125,-6.600531790858199e-06,-8048487424.0,35.909915421360225,0.6071204820636922,1.0275523609262172,1.0284040953250642,-0.046385136,6.079508
-10.051876,-180.5078125,-1.249386743756537e-05,-4289193984.0,35.90761964388904,0.6235038893798143,1.0275987602346313,1.0284063661352116,-0.0296487,6.3720417
-12.3739395,7.03125,-1.3250159708685182e-05,-5607826432.0,35.90764578491526,0.6377514781094457,1.027615303188805,1.028407611999106,-0.03707934,6.3193226
-13.920112,-17.4375,-1.2900897173867687e-05,-9592779776.0,35.90900956383047,0.6459098103193052,1.027632810478288,1.0284107631825383,-0.06936738,6.284807
-10.877972,80.578125,-1.2870403879960607e-05,-8545118208.0,35.911636303253566,0.662265122765651,1.027685505345585,1.0284139321205463,-0.04838825,6.1361423
-13.3507395,168.1953125,-9.684005791675949e-06,-7910319616.0,35.91139166977362,0.6412195867208842,1.027687355512526,1.0284120508965024,-0.06175789,5.671028
-10.65841,47.765625,-1.3651665971437236e-05,-7740139008.0,35.90988921133431,0.6404655013733039,1.0276607013330228,1.0284063367133445,-0.04120412,4.866675
-10.25492,106.90625,-9.431294567052896e-06,-7489854464.0,35.911041437193404,0.59979806135622,1.0277123422157477,1.0284033755038646,-0.038629934,5.194613
-11.094837,-247.21875,-9.636582405991404e-06,-7058540032.0,35.9131790377989,0.6056404563411585,1.0277004334015576,1.0284124721872046,-0.042833272,5.6511555
-13.049098,-24.734375,-1.0612204525235678e-05,-8115856896.0,35.91677240376632,0.6152090578149606,1.027701704482722,1.0284192209548138,-0.053185087,5.7682457
-11.629893,41.9296875,-1.22634094812896e-05,-7001709056.0,35.915513248098605,0.6334908399160971,1.0277325905920045,1.0284258720722603,-0.05344727,7.07892
-9.517667,-158.703125,-1.0094548796496293e-05,-9681697792.0,35.91181218346884,0.617849674357179,1.0277130606213236,1.0284310150653757,-0.04717327,6.7240024
-12.00779,-128.875,-1.22751844384254e-05,-5834265088.0,35.91197515088459,0.6541332991061305,1.0277501487635017,1.0284393711292998,-0.04661172,6.226668
