Variable,Label,t0,t1,a0,a1,Height,Direction,Zoom_Start,Zoom_End
AMOC_40N,1 Up,1126,1247,7.2539616241238605,23.72350953427257,16.46954791014871,up,1000,1400
SFWF,1 Up,1096,1266,-1.731800464136457e-05,4.0051738324048384e-05,5.736974296541295e-05,up,1000,1400
PD_200m,1 Up,1120,1258,1.0284560188751795,1.0288047674114313,0.00034874853625188607,up,1000,1400
AMOC_40N,1 Down,1505,1704,17.88786654716043,5.492967147702462,-12.39489939945797,down,1400,1800
SFWF,1 Down,1479,1678,2.1775135141996386e-05,-1.4046719829961358e-05,-3.582185497195774e-05,down,1400,1800
PD_200m,1 Down,1528,1727,1.0287164681746854,1.0283728845353177,-0.0003435836393677061,down,1400,1800
AMOC_40N,2 Up,2838,3020,6.231839892664144,22.68604056623184,16.454200673567694,up,2700,3100
SFWF,2 Up,2835,3028,-1.8273985191982437e-05,3.85291380328045e-05,5.680312322478694e-05,up,2700,3100
PD_200m,2 Up,2831,3030,1.0283988963633761,1.028795654099611,0.0003967577362349317,up,2700,3100
AMOC_40N,2 Down,3178,3377,18.01732294339515,5.967394705525758,-12.049928237869391,down,3100,3500
SFWF,2 Down,3153,3352,2.3638630280523116e-05,-1.287956243294345e-05,-3.651819271346657e-05,down,3100,3500
PD_200m,2 Down,3196,3395,1.028715274092668,1.0283892721228716,-0.0003260019697963745,down,3100,3500
AMOC_40N,3 Up,6367,6474,7.067016143395843,23.592596257752042,16.5255801143562,up,6200,6600
SFWF,3 Up,6326,6519,-1.6621865456412057e-05,3.989243366870358e-05,5.6514299125115636e-05,up,6200,6600
PD_200m,3 Up,6320,6512,1.0284159854268122,1.0287803801885314,0.00036439476171912233,up,6200,6600
AMOC_40N,3 Down,6745,6944,16.659571029485008,4.704029773247839,-11.955541256237169,down,6600,7000
SFWF,3 Down,6713,6912,1.9237702942461305e-05,-1.4541019415856493e-05,-3.3778722358317796e-05,down,6600,7000
PD_200m,3 Down,6749,6948,1.0287136103687171,1.0283652287261555,-0.00034838164256156823,down,6600,7000
AMOC_40N,4 Up,9046,9245,7.3714136435353135,23.2041408566386,15.832727213103286,up,8900,9300
SFWF,4 Up,9054,9253,-1.798375892883343e-05,4.1987689706970345e-05,5.997144863580377e-05,up,8900,9300
PD_200m,4 Up,9054,9253,1.0283651863645733,1.0287872589518114,0.00042207258723814256,up,8900,9300
AMOC_40N,4 Down,10062,10261,14.836880562363087,5.645906019073072,-9.190974543290015,down,9900,10300
SFWF,4 Down,10023,10222,1.4128613723188246e-05,-1.0632386971950171e-05,-2.4761000695138417e-05,down,9900,10300
PD_200m,4 Down,10087,10286,1.0286629213929843,1.0283013231763254,-0.00036159821665893155,down,9900,10300
AMOC_40N,5 Up,11342,11487,7.708628239119653,24.118223738229233,16.409595499109578,up,11200,11600
SFWF,5 Up,11321,11505,-1.5670696326718654e-05,4.341796840550601e-05,5.908866473222466e-05,up,11200,11600
PD_200m,5 Up,11314,11513,1.0283646001587285,1.0287890504183037,0.0004244502595751598,up,11200,11600
AMOC_40N,5 Down,12242,12441,16.437996405048576,6.109129144807744,-10.328867260240832,down,12100,12500
SFWF,5 Down,12197,12396,2.043715356429405e-05,-8.937997185602237e-06,-2.9375150749896286e-05,down,12100,12500
PD_200m,5 Down,12260,12459,1.028698194766857,1.0283511201614968,-0.0003470746053602092,down,12100,12500
AMOC_40N,6 Up,13011,13170,5.937448697679126,23.46965774791887,17.532209050239743,up,12900,13300
SFWF,6 Up,12997,13191,-1.8399993153063998e-05,4.260168682127624e-05,6.1001679974340236e-05,up,12900,13300
